Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,game_id
36.0,Sun,2018-05-06,17:00,Dijon,Guingamp,2.3,0.5,3–1,13157.0,Karim Abed,2017-2018,396
36.0,Sun,2018-05-06,17:00,Caen,Monaco,1.3,1.3,1–2,17468.0,Ruddy Buquet,2017-2018,397
36.0,Sun,2018-05-06,21:05,Marseille,Nice,2.0,0.9,2–1,51443.0,Antony Gautier,2017-2018,398
37.0,Fri,2018-05-11,20:45,Guingamp,Marseille,3.4,1.8,3–3,18378.0,Amaury Delerue,2017-2018,400
37.0,Sat,2018-05-12,21:00,Strasbourg,Lyon,1.0,1.1,3–2,25503.0,Clément Turpin,2017-2018,401
37.0,Sat,2018-05-12,21:00,Montpellier,Troyes,0.8,0.4,1–1,12125.0,François Letexier,2017-2018,402
37.0,Sat,2018-05-12,21:00,Bordeaux,Toulouse,2.6,0.9,4–2,38630.0,Ruddy Buquet,2017-2018,403
37.0,Sat,2018-05-12,21:00,Amiens,Metz,1.5,1.3,2–0,10969.0,Johan Hamel,2017-2018,404
37.0,Sat,2018-05-12,21:00,Lille,Dijon,2.3,1.6,2–1,46342.0,Nicolas Rainville,2017-2018,405
37.0,Sat,2018-05-12,21:00,Nice,Caen,2.3,0.7,4–1,22570.0,Franck Schneider,2017-2018,406
37.0,Sat,2018-05-12,21:00,Paris S-G,Rennes,1.0,1.1,0–2,47352.0,Jérôme Brisard,2017-2018,407
37.0,Sat,2018-05-12,21:00,Angers,Nantes,0.7,1.0,0–2,15567.0,Benoît Millot,2017-2018,408
37.0,Sat,2018-05-12,21:00,Monaco,Saint-Étienne,2.2,0.7,1–0,10742.0,Benoît Bastien,2017-2018,409
38.0,Sat,2018-05-19,21:00,Saint-Étienne,Lille,1.9,0.5,5–0,22665.0,François Letexier,2017-2018,411
38.0,Sat,2018-05-19,21:00,Caen,Paris S-G,0.9,1.1,0–0,19999.0,Antony Gautier,2017-2018,412
38.0,Sat,2018-05-19,21:00,Dijon,Angers,0.7,2.1,2–1,14270.0,Thomas Léonard,2017-2018,413
38.0,Sat,2018-05-19,21:00,Marseille,Amiens,2.5,0.6,2–1,56120.0,Jérôme Brisard,2017-2018,414
38.0,Sat,2018-05-19,21:00,Rennes,Montpellier,0.5,0.7,1–1,28126.0,Karim Abed,2017-2018,415
38.0,Sat,2018-05-19,21:00,Nantes,Strasbourg,0.6,0.5,1–0,19595.0,Ruddy Buquet,2017-2018,416
38.0,Sat,2018-05-19,21:00,Metz,Bordeaux,0.4,1.9,0–4,12400.0,Hakim Ben El Hadj Salem,2017-2018,417
38.0,Sat,2018-05-19,21:00,Lyon,Nice,2.3,1.1,3–2,56953.0,Benoît Bastien,2017-2018,418
38.0,Sat,2018-05-19,21:00,Toulouse,Guingamp,2.1,0.7,2–1,24306.0,Mikael Lesage,2017-2018,419
38.0,Sat,2018-05-19,21:00,Troyes,Monaco,0.9,2.5,0–3,14585.0,Clément Turpin,2017-2018,420
