,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Yann Sommer,Adam Bodzek,(4-3-1-2),(3-4-3),58%,42%,429 of 531 — 81%,72% — 279 of 389,11 of 23 — 48%,22% — 4 of 18,3 of 4 — 75%,81% — 9 of 11,2.0,0,3.0,0,15,11,10,4,29,21,653,510,13,15,5,7,18,12,26,28,5,1,12,8,17,19,55,83
0,Makoto Hasebe,Marco Reus,(3-1-4-2),(4-2-3-1),38%,62%,289 of 404 — 72%,83% — 543 of 656,3 of 18 — 17%,44% — 7 of 16,5 of 7 — 71%,66% — 2 of 3,2.0,0,2.0,0,18,11,5,8,22,19,534,784,21,20,12,7,18,16,21,18,0,2,6,9,25,18,70,66
0,Josuha Guilavogui,Kevin Vogt,(3-4-3),(4-1-4-1),52%,48%,444 of 565 — 79%,76% — 393 of 514,4 of 12 — 33%,56% — 5 of 9,4 of 5 — 80%,75% — 3 of 4,2.0,0,4.0,0,13,18,4,6,15,10,674,629,17,25,14,9,11,17,10,21,6,2,3,9,24,21,70,70
0,Christopher Trimmel,Makoto Hasebe,(4-2-3-1),(3-4-1-2),53%,47%,361 of 506 — 71%,67% — 301 of 452,5 of 11 — 45%,35% — 6 of 17,4 of 6 — 66%,80% — 4 of 5,1.0,0,1.0,0,11,12,4,5,21,28,637,579,11,21,15,15,32,28,28,20,2,0,10,7,22,28,99,105
0,Willi Orban,Alexander Nübel,(4-2-2-2),(4-4-2),65%,35%,542 of 684 — 79%,65% — 243 of 375,6 of 16 — 38%,58% — 7 of 12,5 of 7 — 71%,83% — 5 of 6,1.0,0,1.0,0,13,14,8,4,23,7,801,504,20,14,5,16,19,16,12,26,2,5,4,11,33,22,55,86
0,Alfreð Finnbogason,Kevin Volland,(4-4-2),(4-2-3-1),26%,74%,192 of 301 — 64%,88% — 766 of 870,1 of 7 — 14%,45% — 5 of 11,3 of 5 — 60%,100% — 1 of 1,4.0,0,0.0,0,16,9,1,3,8,11,386,955,9,8,12,13,13,8,18,7,1,2,4,8,17,21,50,96
0,Uwe Hünemeier,Manuel Neuer,(4-4-2),(4-2-3-1),36%,64%,293 of 401 — 73%,85% — 592 of 698,5 of 10 — 50%,33% — 6 of 18,3 of 6 — 50%,60% — 3 of 5,1.0,0,1.0,0,8,6,11,5,24,12,527,832,22,20,7,11,9,15,20,27,2,0,12,4,20,27,76,87
0,Daniel Brosinski,Josuha Guilavogui,(4-3-1-2),(3-4-3),53%,47%,374 of 505 — 74%,74% — 327 of 439,4 of 15 — 27%,75% — 3 of 4,2 of 3 — 66%,100% — 4 of 4,2.0,0,3.0,0,11,16,10,1,34,5,646,604,26,27,13,5,12,23,10,48,0,0,4,7,38,25,81,74
0,Benjamin Hübner,Yann Sommer,(3-5-2),(4-3-1-2),52%,48%,414 of 512 — 81%,78% — 375 of 481,4 of 17 — 24%,42% — 5 of 12,2 of 5 — 40%,100% — 4 of 4,2.0,0,2.0,0,11,13,2,5,20,18,628,581,16,16,6,13,11,20,12,13,1,1,8,14,14,20,63,73
0,Marco Reus,Davy Klaassen,(4-2-3-1),(4-2-3-1),65%,35%,710 of 818 — 87%,80% — 345 of 432,7 of 18 — 39%,45% — 5 of 11,3 of 5 — 60%,71% — 5 of 7,1.0,0,0.0,0,8,10,9,2,35,10,929,564,14,16,4,21,6,10,10,35,0,3,6,15,29,14,53,59
0,Adam Bodzek,Christian Günter,(4-2-2-2),(3-4-3),55%,45%,430 of 537 — 80%,80% — 347 of 434,7 of 18 — 39%,25% — 2 of 8,0 of 2 — 0%,85% — 6 of 7,2.0,0,2.0,0,9,11,5,1,24,6,616,536,14,14,6,6,18,9,11,27,4,0,3,10,22,16,78,74
0,Jonas Hector,Niklas Stark,(4-2-2-2),(4-2-3-1),54%,46%,405 of 503 — 81%,79% — 335 of 426,3 of 9 — 33%,60% — 6 of 10,2 of 6 — 33%,100% — 3 of 3,1.0,1,0.0,0,10,13,8,4,32,19,603,529,13,11,13,11,12,13,16,36,3,0,6,9,25,22,80,62
0,Vedad Ibišević,Oliver Fink,(4-2-3-1),(4-2-3-1),52%,48%,396 of 488 — 81%,80% — 358 of 445,3 of 17 — 18%,22% — 2 of 9,2 of 2 — 100%,0% — 0 of 3,3.0,0,3.0,0,17,18,9,2,24,15,598,540,20,11,9,10,16,11,23,17,0,0,7,6,16,30,60,73
