Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season
17.0,Sun,2021-01-03,18:30,Real Sociedad,Osasuna,0.8,0.8,1–1,,Valentín Pizarro,2020-2021
17.0,Sun,2021-01-03,21:00,Huesca,Barcelona,0.8,3.0,0–1,,Guillermo Cuadra,2020-2021
17.0,Mon,2021-01-04,21:00,Valencia,Cádiz,0.8,0.8,1–1,,David Medié,2020-2021
2.0,Wed,2021-01-06,21:00,Athletic Club,Barcelona,0.6,1.6,2–3,,Carlos del Cerro,2020-2021
18.0,Fri,2021-01-08,21:00,Celta Vigo,Villarreal,0.4,2.7,0–4,,Daniel Ask,2020-2021
18.0,Sat,2021-01-09,14:00,Sevilla,Real Sociedad,2.6,0.8,3–2,,Hsu Jason,2020-2021
18.0,Sat,2021-01-09,18:30,Granada,Barcelona,0.5,0.9,0–4,,Ricardo de Burgos,2020-2021
18.0,Sat,2021-01-09,21:00,Osasuna,Real Madrid,0.6,0.4,0–0,,César Soto,2020-2021
18.0,Sun,2021-01-10,14:00,Levante,Eibar,1.0,1.1,2–1,,Daniel Ask,2020-2021
18.0,Sun,2021-01-10,16:15,Cádiz,Alavés,2.6,0.9,3–1,,José Sánchez,2020-2021
18.0,Sun,2021-01-10,21:00,Valladolid,Valencia,0.7,1.2,0–1,,Guillermo Cuadra,2020-2021
18.0,Mon,2021-01-11,19:00,Elche,Getafe,1.1,3.1,1–3,,José Luis Munuera,2020-2021
18.0,Mon,2021-01-11,21:00,Huesca,Betis,1.3,2.4,0–2,,Adrián Cordero,2020-2021
4.0,Tue,2021-01-12,19:00,Granada,Osasuna,0.8,0.7,2–0,,Pablo González,2020-2021
1.0,Tue,2021-01-12,21:30,Atlético Madrid,Sevilla,0.4,1.8,2–0,,Daniel Ask,2020-2021
19.0,Tue,2021-01-19,19:00,Cádiz,Levante,0.8,1.9,2–2,,Carlos del Cerro,2020-2021
19.0,Tue,2021-01-19,19:00,Valladolid,Elche,1.0,0.6,2–2,,Santiago Jaime,2020-2021
19.0,Tue,2021-01-19,21:30,Alavés,Sevilla,1.6,1.2,1–2,,Isidro Díaz de Mera,2020-2021
19.0,Wed,2021-01-20,19:00,Getafe,Huesca,0.8,0.8,1–0,,David Medié,2020-2021
