Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
35.0,Sun,2023-05-14,15:00,Rennes,Troyes,3.9,0.4,4–0,27836.0,Stéphanie Frappart,2022-2023,Hamari Traoré,Adil Rami,(4-1-4-1),(3-4-3),66%,34%,530 of 613 — 86%,75% — 235 of 313,9 of 26 — 35%,0% — 0 of 4,0 of 0 — %,55% — 5 of 9,0.0,0.0,1.0,0.0,4,9,9,1,20,10,706,412,13,11,9,7,9,10,6,20,3,1,5,11,15,15,54,52
35.0,Sun,2023-05-14,15:00,Brest,Auxerre,1.6,0.6,1–0,15028.0,Eric Wattellier,2022-2023,Brendan Chardonnet,Birama Touré,(4-1-4-1),(5-3-2),45%,55%,360 of 475 — 76%,82% — 467 of 573,10 of 15 — 67%,20% — 2 of 10,2 of 2 — 100%,90% — 9 of 10,0.0,0.0,0.0,0.0,8,8,6,0,28,9,580,681,21,10,12,8,26,15,14,21,3,0,7,6,19,23,92,77
35.0,Sun,2023-05-14,17:05,Monaco,Lille,0.7,0.9,0–0,6805.0,Benoît Bastien,2022-2023,Axel Disasi,José Fonte,(4-2-3-1),(4-2-3-1),42%,58%,279 of 403 — 69%,79% — 440 of 556,1 of 8 — 13%,40% — 4 of 10,4 of 4 — 100%,100% — 1 of 1,0.0,0.0,2.0,0.0,19,13,3,4,15,9,505,664,17,12,12,14,18,15,14,22,3,0,6,4,24,20,81,73
35.0,Sun,2023-05-14,20:45,Marseille,Angers,2.7,0.3,3–1,63329.0,Benoît Millot,2022-2023,Dimitri Payet,Nabil Bentaleb,(3-4-3),(5-3-2),62%,38%,481 of 574 — 84%,74% — 258 of 348,5 of 13 — 38%,25% — 1 of 4,0 of 1 — 0%,60% — 3 of 5,1.0,0.0,2.0,0.0,17,9,7,0,21,4,671,444,21,14,10,11,14,12,7,25,7,0,5,10,16,17,46,59
36.0,Fri,2023-05-19,21:00,Lyon,Monaco,2.1,1.8,3–1,53980.0,Benoît Millot,2022-2023,Alexandre Lacazette,Wissam Ben Yedder,(4-2-3-1),(3-4-3),62%,38%,563 of 647 — 87%,75% — 305 of 405,11 of 23 — 48%,57% — 8 of 14,8 of 8 — 100%,72% — 8 of 11,0.0,0.0,3.0,0.0,8,14,2,8,9,25,772,517,17,23,12,13,8,9,27,15,0,3,4,8,15,17,55,76
36.0,Sat,2023-05-20,17:00,Nantes,Montpellier,0.9,1.8,0–3,30170.0,Ruddy Buquet,2022-2023,Samuel Moutoussamy,Téji Savanier,(3-4-3),(4-2-3-1),44%,56%,336 of 424 — 79%,84% — 456 of 546,3 of 13 — 23%,46% — 6 of 13,3 of 6 — 50%,100% — 3 of 3,4.0,0.0,0.0,0.0,14,8,10,6,31,9,535,646,23,18,14,6,7,11,13,21,2,2,4,11,20,14,48,74
36.0,Sat,2023-05-20,21:00,Lille,Marseille,1.7,0.7,2–1,47399.0,Jérôme Brisard,2022-2023,Benjamin André,Valentin Rongier,(4-1-2-1-2),(3-4-3),47%,53%,337 of 439 — 77%,78% — 382 of 492,2 of 11 — 18%,38% — 3 of 8,2 of 3 — 66%,50% — 1 of 2,3.0,0.0,2.0,0.0,14,20,3,4,8,8,542,579,15,18,12,7,17,11,10,12,0,5,6,8,21,20,71,78
36.0,Sun,2023-05-21,13:00,Ajaccio,Rennes,0.1,1.3,0–5,6637.0,Eric Wattellier,2022-2023,Mathieu Coutadeur,Hamari Traoré,(4-4-2),(4-1-4-1),42%,58%,304 of 392 — 78%,86% — 470 of 546,0 of 2 — 0%,54% — 7 of 13,2 of 7 — 28%,% — 0 of 0,1.0,1.0,2.0,0.0,8,14,2,5,10,10,472,643,16,13,13,8,12,14,8,12,2,2,9,7,17,8,63,63
36.0,Sun,2023-05-21,15:00,Nice,Toulouse,2.2,0.8,0–0,20041.0,Jérémie Pignard,2022-2023,Dante,Maxime Dupé,(4-3-3),(4-2-3-1),51%,49%,470 of 560 — 84%,82% — 437 of 535,7 of 21 — 33%,43% — 3 of 7,3 of 3 — 100%,100% — 7 of 7,2.0,0.0,2.0,0.0,6,15,6,3,31,12,690,653,20,29,12,7,15,9,11,23,0,0,4,11,26,15,68,60
36.0,Sun,2023-05-21,15:00,Reims,Angers,1.5,1.2,2–2,11242.0,Florent Batta,2022-2023,Yunis Abdelhamid,Himad Abdelli,(4-2-3-1),(5-3-2),57%,43%,437 of 537 — 81%,77% — 313 of 409,4 of 11 — 36%,43% — 3 of 7,1 of 3 — 33%,50% — 2 of 4,0.0,0.0,2.0,0.0,14,11,7,3,21,15,630,517,24,17,8,9,16,10,11,20,1,0,2,7,18,18,65,67
