Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
4.0,Sun,2019-09-22,15:00,Sampdoria,Torino,1.6,0.3,1–0,19041.0,Piero Giacomelli,2019-2020,Fabio Quagliarella,Andrea Belotti,(3-4-3),(3-5-2),38%,62%,206 of 326 — 63%,77% — 406 of 524,6 of 17 — 35%,20% — 1 of 5,1 of 1 — 100%,83% — 5 of 6,2.0,0,1.0,0,19,14,7,8,20,33,457,655,18,15,12,17,18,20,25,22,0,5,10,9,27,18,69,82
4.0,Sun,2019-09-22,15:00,Lecce,Napoli,1.5,2.9,1–4,21644.0,Marco Piccinini,2019-2020,Marco Mancosu,Lorenzo Insigne,(4-3-3),(4-4-2),38%,62%,337 of 416 — 81%,89% — 607 of 684,2 of 9 — 22%,45% — 9 of 20,6 of 9 — 66%,100% — 2 of 2,3.0,0,3.0,0,12,8,4,6,10,21,509,784,15,15,7,11,8,7,18,5,1,0,8,6,20,15,39,74
4.0,Sun,2019-09-22,15:00,Bologna,Roma,1.3,1.5,1–2,25513.0,Luca Pairetto,2019-2020,Andrea Poli,Alessandro Florenzi,(4-2-3-1),(4-2-3-1),40%,60%,278 of 361 — 77%,83% — 444 of 535,2 of 5 — 40%,22% — 4 of 18,2 of 4 — 50%,100% — 2 of 2,3.0,0,7.5,0,13,18,3,4,10,17,458,624,14,15,7,8,9,22,21,14,1,1,11,5,14,23,66,80
4.0,Sun,2019-09-22,18:00,Atalanta,Fiorentina,1.6,1.0,2–2,10314.0,Daniele Orsato,2019-2020,Andrea Masiello,Germán Pezzella,(3-5-2),(3-5-2),64%,36%,514 of 616 — 83%,72% — 248 of 345,3 of 19 — 16%,22% — 2 of 9,1 of 2 — 50%,33% — 1 of 3,2.0,0,5.0,0,14,11,9,1,28,7,721,476,21,24,6,8,27,14,4,31,2,0,7,16,24,9,54,73
4.0,Sun,2019-09-22,20:45,Lazio,Parma,1.7,0.5,2–0,31404.0,Rosario Abisso,2019-2020,Senad Lulić,Bruno Alves,(3-5-1-1),(4-3-3),62%,38%,623 of 708 — 88%,83% — 365 of 442,9 of 25 — 36%,17% — 1 of 6,1 of 1 — 100%,77% — 7 of 9,1.0,0,3.0,0,7,10,10,5,21,13,817,554,18,16,10,10,9,8,15,19,1,1,3,8,14,17,88,77
5.0,Tue,2019-09-24,19:00,Hellas Verona,Udinese,1.0,0.6,0–0,13740.0,Daniele Chiffi,2019-2020,Miguel Veloso,Kevin Lasagna,(3-4-3),(3-5-1-1),56%,44%,409 of 531 — 77%,70% — 296 of 424,4 of 13 — 31%,27% — 3 of 11,3 of 3 — 100%,100% — 4 of 4,0.0,0,4.0,0,5,20,6,6,26,17,652,535,10,21,12,4,22,28,20,25,4,0,6,11,25,21,86,76
5.0,Tue,2019-09-24,21:00,Brescia,Juventus,0.7,1.7,1–2,14000.0,Fabrizio Pasqua,2019-2020,Dimitri Bisoli,Leonardo Bonucci,(4-3-1-2),(4-1-2-1-2),33%,67%,270 of 366 — 74%,88% — 650 of 738,3 of 16 — 19%,25% — 5 of 20,4 of 5 — 80%,66% — 2 of 3,1.0,0,3.0,0,13,15,4,3,21,12,473,844,11,13,16,6,8,7,11,16,3,2,10,12,24,20,70,67
5.0,Wed,2019-09-25,19:00,Roma,Atalanta,1.8,1.8,0–2,31832.0,Massimiliano Irrati,2019-2020,Alessandro Florenzi,Papu Gómez,(4-2-3-1),(3-4-1-2),47%,53%,389 of 491 — 79%,83% — 464 of 558,2 of 13 — 15%,28% — 5 of 18,3 of 5 — 60%,100% — 2 of 2,2.0,0,1.0,0,18,11,5,1,14,9,586,679,13,25,12,11,15,16,8,18,2,4,14,9,21,15,76,58
5.0,Wed,2019-09-25,21:00,Fiorentina,Sampdoria,1.6,0.5,2–1,33469.0,Daniele Doveri,2019-2020,Germán Pezzella,Albin Ekdal,(3-5-2),(3-4-3),55%,45%,456 of 545 — 84%,76% — 336 of 444,8 of 17 — 47%,25% — 2 of 8,1 of 2 — 50%,75% — 6 of 8,4.0,0,6.5,0,13,16,3,1,12,13,670,534,18,8,8,11,12,10,15,11,1,1,9,10,15,29,59,60
5.0,Wed,2019-09-25,21:00,SPAL,Lecce,1.0,2.2,1–3,13292.0,Gianluca Rocchi,2019-2020,Sergio Floccari,Marco Mancosu,(3-5-2),(4-3-3),58%,42%,431 of 520 — 83%,81% — 306 of 377,6 of 18 — 33%,17% — 1 of 6,0 of 1 — 0%,83% — 5 of 6,1.0,0,2.0,0,15,14,10,1,40,4,603,491,16,20,5,7,9,11,8,27,0,1,3,8,22,23,63,61
