,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Teddy Teuma,Brice Samba,(4-3-3),(4-2-3-1),52%,48%,408 of 508 — 80%,83% — 389 of 469,3 of 16 — 19%,55% — 6 of 11,4 of 6 — 66%,100% — 3 of 3,1.0,0.0,2.0,0.0,14,12,3,1,22,7,619,613,18,25,12,9,7,6,14,36,1,4,6,7,31,16,54,51
0,Steve Mandanda,Gautier Larsonneur,(3-4-3),(5-4-1),71%,29%,642 of 726 — 88%,75% — 218 of 291,7 of 16 — 44%,0% — 0 of 2,0 of 0 — %,57% — 4 of 7,0.0,0.0,1.0,1.0,14,12,6,1,18,5,819,400,14,25,9,9,7,5,8,26,2,1,3,7,19,12,38,53
0,Brendan Chardonnet,Habib Diarra,(4-2-3-1),(4-2-3-1),38%,62%,320 of 397 — 81%,87% — 556 of 636,6 of 9 — 67%,33% — 4 of 12,3 of 4 — 75%,66% — 4 of 6,3.0,0.0,2.0,0.0,15,8,4,3,19,20,496,734,12,11,13,1,11,7,26,23,3,1,8,2,20,17,65,54
0,Marquinhos,Pedro Chirivella,(4-3-3),(5-3-2),84%,16%,973 of 1083 — 90%,65% — 138 of 211,10 of 24 — 42%,40% — 2 of 5,1 of 2 — 50%,90% — 9 of 10,0.0,0.0,0.0,0.0,3,6,9,3,43,7,1188,364,14,24,9,10,10,10,9,59,1,2,4,10,27,10,45,44
0,Téji Savanier,Benjamin André,(4-2-3-1),(4-2-3-1),42%,58%,261 of 356 — 73%,83% — 402 of 486,5 of 11 — 45%,18% — 2 of 11,2 of 2 — 100%,60% — 3 of 5,4.0,1.0,5.0,1.0,9,21,7,2,18,9,465,603,15,24,10,8,15,18,14,25,3,1,8,6,15,18,74,50
0,Vincent Sierro,Jubal,(3-4-3),(5-4-1),52%,48%,376 of 481 — 78%,74% — 331 of 448,5 of 11 — 45%,0% — 0 of 4,0 of 0 — %,80% — 4 of 5,0.0,0.0,0.0,0.0,14,12,6,2,18,11,596,552,16,14,12,10,11,15,20,20,2,3,6,9,25,13,69,83
0,Alexandre Lacazette,Pablo Rosario,(4-3-3),(4-3-3),53%,47%,402 of 512 — 79%,79% — 361 of 457,7 of 15 — 47%,38% — 6 of 16,5 of 6 — 83%,57% — 4 of 7,1.0,0.0,2.0,0.0,11,11,5,4,18,22,635,581,21,13,11,15,13,12,16,23,3,1,4,5,17,16,59,49
0,Josué Casimir,Himad Abdelli,(3-4-3),(4-2-3-1),55%,45%,457 of 541 — 84%,84% — 365 of 436,1 of 5 — 20%,23% — 3 of 13,2 of 3 — 66%,100% — 1 of 1,2.0,0.0,0.0,0.0,8,10,2,4,34,12,646,561,26,23,9,8,10,6,7,33,0,1,6,8,15,22,52,45
0,Leonardo Balerdi,Denis Zakaria,(3-4-3),(4-2-3-1),63%,37%,590 of 699 — 84%,74% — 302 of 409,3 of 8 — 38%,57% — 4 of 7,3 of 4 — 75%,66% — 2 of 3,0.0,0.0,1.0,0.0,15,16,5,3,18,9,817,522,21,23,12,20,7,6,22,17,0,1,2,7,22,17,44,55
0,Benjamin André,Brendan Chardonnet,(4-2-3-1),(4-2-3-1),61%,39%,575 of 661 — 87%,78% — 326 of 419,5 of 9 — 56%,43% — 3 of 7,2 of 3 — 66%,60% — 3 of 5,1.0,0.0,1.0,0.0,13,16,2,1,8,10,744,516,12,19,10,19,10,10,15,14,1,1,10,3,21,21,56,65
0,Jubal,Marquinhos,(3-4-3),(4-3-3),27%,73%,181 of 278 — 65%,87% — 637 of 733,2 of 6 — 33%,46% — 11 of 24,11 of 11 — 100%,100% — 2 of 2,2.0,0.0,1.0,0.0,8,7,3,15,10,28,419,861,26,29,9,10,10,10,37,16,3,4,10,4,17,24,68,44
0,Thilo Kehrer,Vincent Sierro,(4-2-3-1),(3-4-3),58%,42%,426 of 545 — 78%,70% — 280 of 401,5 of 19 — 26%,50% — 3 of 6,3 of 3 — 100%,60% — 3 of 5,2.0,0.0,2.0,0.0,15,16,2,3,11,13,672,515,21,15,10,13,15,18,22,19,4,1,7,12,12,22,66,73
0,Pablo Rosario,Abdoulaye Touré,(4-3-1-2),(3-5-1-1),51%,49%,358 of 446 — 80%,77% — 338 of 437,4 of 16 — 25%,8% — 1 of 12,0 of 1 — 0%,75% — 3 of 4,3.0,0.0,2.0,0.0,10,10,5,8,23,26,579,566,21,23,7,11,13,9,28,21,0,2,11,12,15,22,53,59
0,Himad Abdelli,Alexandre Lacazette,(4-2-3-1),(4-3-3),37%,63%,289 of 364 — 79%,86% — 542 of 630,2 of 10 — 20%,63% — 10 of 16,7 of 10 — 70%,100% — 2 of 2,0.0,0.0,2.0,0.0,13,13,2,7,15,19,476,731,13,20,9,11,8,14,35,14,4,1,4,8,23,20,39,56
0,Brice Samba,Téji Savanier,(4-2-3-1),(3-4-1-2),55%,45%,473 of 554 — 85%,80% — 365 of 456,3 of 17 — 18%,43% — 3 of 7,3 of 3 — 100%,66% — 2 of 3,2.0,0.0,3.0,0.0,15,7,6,3,23,18,670,574,16,20,6,7,10,10,22,27,4,1,5,12,17,14,33,70
0,Habib Diarra,Emmanuel Agbadou,(4-2-3-1),(4-2-3-1),48%,52%,396 of 480 — 83%,83% — 430 of 521,2 of 7 — 29%,30% — 3 of 10,3 of 3 — 100%,100% — 2 of 2,1.0,0.0,2.0,0.0,13,16,3,2,15,23,602,622,19,16,9,7,9,13,25,22,0,2,9,9,14,18,60,69
