,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Emmanuel Gyasi,Davide Faraoni,(4-3-3),(3-4-1-2),69%,31%,438 of 541 — 81%,58% — 144 of 247,4 of 20 — 20%,27% — 3 of 11,3 of 3 — 100%,100% — 4 of 4,2.0,1.0,1.0,0.0,6,7,9,5,23,17,660,376,11,21,3,6,18,13,20,36,0,0,12,13,25,19,69,69
0,Emil Audero,Antonio Candreva,(3-4-3),(3-4-3),56%,44%,377 of 499 — 76%,71% — 276 of 389,3 of 9 — 33%,40% — 4 of 10,4 of 4 — 100%,100% — 3 of 3,3.0,0.0,4.0,0.0,18,13,2,6,15,18,603,521,14,18,8,12,20,32,19,25,1,1,6,7,24,20,73,54
0,Lautaro Martínez,Morten Hjulmand,(3-5-2),(4-3-3),62%,38%,476 of 587 — 81%,74% — 265 of 356,4 of 14 — 29%,9% — 1 of 11,1 of 1 — 100%,50% — 2 of 4,0.0,0.0,0.0,0.0,10,11,6,4,26,15,680,476,19,16,9,8,19,11,12,31,3,1,10,7,37,22,89,59
0,Lorenzo Pellegrini,Danilo,(3-4-3),(3-5-1-1),41%,59%,341 of 421 — 81%,86% — 528 of 614,2 of 6 — 33%,36% — 5 of 14,5 of 5 — 100%,50% — 1 of 2,3.0,0.0,2.0,1.0,11,10,2,6,11,26,521,704,13,10,11,7,12,6,23,12,2,0,6,6,15,21,58,54
0,Andrea Consigli,Matteo Bianchetti,(4-3-3),(3-4-3),54%,46%,382 of 506 — 75%,70% — 300 of 429,7 of 13 — 54%,38% — 5 of 13,3 of 5 — 60%,57% — 4 of 7,1.0,0.0,4.0,0.0,11,9,4,3,21,24,624,537,13,20,9,9,16,17,30,18,0,0,10,7,32,24,67,92
0,Ricardo Rodríguez,Roberto Soriano,(3-4-3),(4-2-3-1),44%,56%,361 of 456 — 79%,84% — 483 of 573,4 of 12 — 33%,9% — 1 of 11,1 of 1 — 100%,75% — 3 of 4,2.0,0.0,2.0,0.0,9,10,3,3,12,18,549,666,9,11,7,7,14,11,19,20,5,1,6,7,27,17,72,60
0,Emmanuel Gyasi,Samir Handanović,(3-5-2),(3-5-2),31%,69%,206 of 292 — 71%,80% — 518 of 644,1 of 3 — 33%,19% — 5 of 26,5 of 5 — 100%,0% — 0 of 1,3.0,0.0,0.0,0.0,11,9,1,13,7,52,441,752,15,19,9,6,19,22,41,7,0,4,17,2,15,30,72,79
0,Filippo Bandinelli,Roberto Pereyra,(4-3-1-2),(3-5-2),61%,39%,422 of 518 — 81%,77% — 254 of 332,3 of 17 — 18%,21% — 3 of 14,2 of 3 — 66%,100% — 3 of 3,2.0,0.0,4.0,0.0,12,13,11,5,37,15,627,465,15,22,8,12,7,13,12,31,0,2,7,7,24,23,70,71
0,Giovanni Di Lorenzo,Rafael Tolói,(4-3-3),(3-4-1-2),60%,40%,556 of 636 — 87%,79% — 334 of 422,6 of 18 — 33%,50% — 3 of 6,3 of 3 — 100%,66% — 4 of 6,1.0,0.0,2.0,0.0,12,11,10,4,22,16,772,555,24,18,10,12,14,8,16,24,1,0,5,7,30,19,48,45
0,Jhon Lucumí,Sergej Milinković-Savić,(4-2-3-1),(4-3-3),54%,46%,587 of 680 — 86%,85% — 484 of 569,2 of 16 — 13%,40% — 2 of 5,2 of 2 — 100%,100% — 2 of 2,2.0,0.0,3.0,0.0,11,8,5,2,18,11,764,666,11,15,7,7,4,10,12,15,3,3,6,9,23,17,69,50
0,Morten Hjulmand,Ricardo Rodríguez,(4-3-3),(3-4-3),55%,45%,373 of 500 — 75%,74% — 306 of 413,1 of 12 — 8%,50% — 2 of 4,0 of 2 — 0%,100% — 1 of 1,3.0,0.0,3.0,0.0,16,17,9,1,33,9,585,512,18,9,8,9,16,18,9,25,2,1,5,8,29,32,77,76
0,Davide Faraoni,Matteo Pessina,(3-4-3),(3-4-3),39%,61%,301 of 410 — 73%,86% — 547 of 635,3 of 8 — 38%,33% — 3 of 9,2 of 3 — 66%,66% — 2 of 3,2.0,0.0,0.0,0.0,17,12,7,2,24,9,485,723,9,11,7,5,9,13,9,27,1,2,5,8,10,13,70,62
0,Matteo Bianchetti,Cristiano Biraghi,(5-3-2),(4-2-3-1),47%,53%,286 of 427 — 67%,72% — 344 of 480,5 of 16 — 31%,30% — 3 of 10,1 of 3 — 33%,100% — 5 of 5,1.0,0.0,2.0,0.0,10,17,1,6,15,13,546,609,21,22,6,2,13,27,18,28,3,3,5,8,28,27,104,99
0,Chris Smalling,Gian Marco Ferrari,(3-4-3),(4-3-3),54%,46%,413 of 512 — 81%,77% — 343 of 444,7 of 17 — 41%,50% — 9 of 18,6 of 9 — 66%,57% — 4 of 7,4.0,1.0,2.0,0.0,11,18,7,2,18,7,621,550,10,16,9,12,22,17,7,13,3,1,8,7,25,15,79,58
0,Leonardo Bonucci,Manolo Gabbiadini,(3-5-1-1),(3-4-3),56%,44%,479 of 563 — 85%,80% — 351 of 440,8 of 23 — 35%,33% — 3 of 9,1 of 3 — 33%,50% — 4 of 8,1.0,0.0,1.0,0.0,10,10,11,3,28,22,674,552,10,18,4,9,15,15,22,26,2,1,6,8,22,11,62,58
0,Theo Hernández,Pasquale Mazzocchi,(3-4-3),(3-4-3),64%,36%,527 of 628 — 84%,71% — 256 of 359,3 of 24 — 13%,50% — 3 of 6,2 of 3 — 66%,66% — 2 of 3,2.0,0.0,3.0,0.0,15,13,6,4,31,10,748,483,22,14,7,12,24,14,12,31,0,1,0,13,25,18,46,51
0,Gian Marco Ferrari,Emmanuel Gyasi,(4-3-3),(4-2-3-1),45%,55%,364 of 452 — 81%,81% — 440 of 542,5 of 14 — 36%,9% — 1 of 11,1 of 1 — 100%,100% — 5 of 5,0.0,0.0,2.0,0.0,10,13,3,3,14,16,568,651,15,22,11,6,11,12,15,15,1,2,10,8,26,21,45,72
0,Rafael Tolói,Sebastiano Luperto,(3-4-1-2),(4-3-1-2),69%,31%,605 of 736 — 82%,66% — 218 of 329,5 of 27 — 19%,40% — 2 of 5,1 of 2 — 50%,60% — 3 of 5,3.0,0.0,2.0,0.0,11,10,13,2,56,9,853,482,13,20,8,10,18,13,15,50,2,1,4,17,32,21,85,58
0,Matteo Pessina,Matteo Bianchetti,(3-1-4-2),(3-5-2),65%,35%,587 of 693 — 85%,73% — 270 of 369,7 of 15 — 47%,25% — 2 of 8,1 of 2 — 50%,85% — 6 of 7,3.0,0.0,5.0,0.0,12,12,8,4,24,16,778,467,3,9,3,10,17,14,15,21,3,2,12,9,15,9,72,62
0,Pasquale Mazzocchi,Jhon Lucumí,(3-4-3),(4-2-3-1),42%,58%,344 of 437 — 79%,85% — 509 of 599,4 of 14 — 29%,20% — 2 of 10,0 of 2 — 0%,50% — 2 of 4,0.0,0.0,1.0,0.0,8,16,5,4,17,15,530,684,13,14,9,4,16,15,15,9,0,0,11,7,15,23,59,64
0,Roberto Pereyra,Zlatan Ibrahimović,(3-5-2),(3-4-3),36%,64%,224 of 316 — 71%,80% — 450 of 563,5 of 14 — 36%,56% — 5 of 9,5 of 5 — 100%,40% — 2 of 5,4.0,0.0,2.0,0.0,16,9,5,6,12,26,444,665,18,15,7,5,15,15,31,9,1,3,7,7,13,25,55,73
0,Manolo Gabbiadini,Darko Lazović,(3-4-3),(3-4-3),44%,56%,264 of 382 — 69%,75% — 364 of 483,4 of 11 — 36%,31% — 5 of 16,4 of 5 — 80%,25% — 1 of 4,3.0,0.0,2.0,0.0,10,11,5,8,15,19,503,610,18,19,10,5,27,35,27,22,1,2,14,1,24,29,86,73
0,Cristiano Biraghi,Morten Hjulmand,(4-2-3-1),(4-3-3),59%,41%,420 of 526 — 80%,70% — 251 of 360,3 of 18 — 17%,25% — 2 of 8,2 of 2 — 100%,100% — 3 of 3,1.0,0.0,3.0,0.0,14,21,1,3,19,14,645,481,19,21,6,9,20,12,13,21,2,2,4,11,39,23,77,70
0,Ricardo Rodríguez,Giovanni Di Lorenzo,(3-4-3),(4-3-3),48%,52%,365 of 456 — 80%,83% — 411 of 495,2 of 12 — 17%,45% — 5 of 11,2 of 5 — 40%,100% — 2 of 2,1.0,0.0,1.0,0.0,14,14,5,4,16,13,558,592,15,17,7,11,8,11,15,14,4,1,7,9,21,20,55,51
