,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Jordan Pickford,Kieran Trippier,(4-3-3),(4-3-3),40%,60%,213 of 338 — 63%,73% — 379 of 516,5 of 13 — 38%,47% — 7 of 15,3 of 7 — 42%,80% — 4 of 5,2.0,0,1.0,0,8,6,2,14,17,21,470,636,18,14,17,9,11,9,26,17,3,1,8,11,17,29,74,81
0,Harry Kane,Bruno Fernandes,(3-4-3),(4-2-3-1),40%,60%,333 of 427 — 78%,84% — 539 of 642,7 of 18 — 39%,41% — 7 of 17,5 of 7 — 71%,71% — 5 of 7,1.0,0,2.0,0,8,7,6,8,23,19,552,755,19,16,13,14,12,11,26,21,2,3,6,10,12,17,50,77
0,Wilfried Zaha,Declan Rice,(4-3-3),(4-2-3-1),59%,41%,416 of 541 — 77%,64% — 244 of 380,5 of 15 — 33%,50% — 4 of 8,1 of 4 — 25%,40% — 2 of 5,1.0,0,2.0,0,9,17,8,5,20,14,664,508,21,23,5,11,31,23,30,23,1,1,3,10,18,29,83,81
0,Ivan Toney,Joe Worrall,(4-3-3),(3-4-3),68%,32%,496 of 609 — 81%,65% — 186 of 288,8 of 14 — 57%,60% — 3 of 5,2 of 3 — 66%,75% — 6 of 8,1.0,0,2.0,0,6,13,6,0,32,6,699,400,9,21,6,7,22,23,6,44,1,1,4,7,24,24,65,74
0,Lewis Dunk,Rúben Neves,(4-2-3-1),(4-4-2),57%,43%,477 of 546 — 87%,79% — 329 of 414,8 of 22 — 36%,20% — 2 of 10,2 of 2 — 100%,25% — 2 of 8,1.0,0,1.0,0,14,11,2,5,7,15,646,508,15,16,9,10,9,1,14,13,2,0,6,9,10,14,34,53
0,Tim Ream,İlkay Gündoğan,(4-2-3-1),(3-2-4-1),38%,62%,327 of 411 — 80%,86% — 587 of 683,1 of 4 — 25%,73% — 8 of 11,7 of 8 — 87%,0% — 0 of 1,1.0,0,3.0,0,9,10,2,5,12,11,512,784,22,14,9,5,15,16,32,15,3,1,2,3,15,23,48,84
0,Bruno Fernandes,John McGinn,(4-1-4-1),(4-2-3-1),57%,43%,463 of 552 — 84%,77% — 316 of 413,6 of 14 — 43%,14% — 1 of 7,1 of 1 — 100%,83% — 5 of 6,2.0,0,0.0,0,16,7,1,4,6,9,650,516,14,15,12,2,6,6,15,18,7,3,4,7,28,21,81,68
0,Kieran Trippier,James Ward-Prowse,(4-3-3),(4-4-2),63%,37%,445 of 559 — 80%,68% — 226 of 332,5 of 22 — 23%,75% — 3 of 4,2 of 3 — 66%,60% — 3 of 5,1.0,0,4.0,0,7,10,11,2,33,5,676,485,17,23,9,8,20,7,8,37,1,2,2,15,23,21,77,62
0,Neto,Liam Cooper,(4-2-3-1),(3-4-3),42%,58%,294 of 406 — 72%,79% — 441 of 556,7 of 12 — 58%,40% — 6 of 15,5 of 6 — 83%,42% — 3 of 7,1.0,0,0.0,0,12,14,2,5,8,19,543,675,24,19,6,6,12,23,22,15,2,1,9,3,21,28,79,68
0,Virgil van Dijk,Harry Kane,(4-3-3),(3-4-3),67%,33%,666 of 764 — 87%,72% — 272 of 377,3 of 11 — 27%,60% — 6 of 10,3 of 6 — 50%,0% — 0 of 3,3.0,0,2.0,0,12,6,4,2,15,10,864,487,16,24,1,8,20,7,7,18,0,5,4,7,21,16,88,66
0,Youri Tielemans,Séamus Coleman,(4-3-3),(4-2-3-1),54%,46%,364 of 497 — 73%,68% — 282 of 416,4 of 14 — 29%,32% — 7 of 22,6 of 7 — 85%,50% — 2 of 4,4.0,0,1.0,0,10,12,2,9,11,38,622,542,19,15,6,11,30,33,37,19,6,3,11,5,19,31,78,85
0,Martin Ødegaard,César Azpilicueta,(4-3-3),(4-3-3),55%,45%,485 of 577 — 84%,83% — 395 of 477,9 of 16 — 56%,57% — 4 of 7,3 of 4 — 75%,66% — 6 of 9,0.0,0,2.0,0,10,10,7,2,18,11,680,583,12,15,7,7,12,18,12,25,1,0,5,7,10,10,48,49
0,Jordan Henderson,Tom Cairney,(4-3-3),(4-2-3-1),57%,43%,549 of 659 — 83%,82% — 404 of 494,2 of 14 — 14%,33% — 3 of 9,3 of 3 — 100%,100% — 2 of 2,0.0,0,0.0,0,10,8,7,5,20,18,762,612,14,15,6,11,14,7,20,34,3,2,6,11,21,14,73,60
0,Kyle Walker,Aaron Cresswell,(3-2-4-1),(4-2-3-1),69%,31%,679 of 769 — 88%,76% — 268 of 352,7 of 16 — 44%,33% — 2 of 6,2 of 2 — 100%,57% — 4 of 7,0.0,0,1.0,0,8,8,6,3,25,11,853,456,16,12,5,11,10,14,12,28,1,0,2,12,16,12,47,50
0,Lewis Dunk,Bruno Fernandes,(4-2-3-1),(4-3-3),59%,41%,501 of 587 — 85%,75% — 306 of 407,5 of 21 — 24%,31% — 5 of 16,5 of 5 — 100%,100% — 5 of 5,4.0,0,4.0,0,10,14,8,6,14,6,705,524,15,20,10,6,12,7,5,13,0,2,7,14,8,12,63,54
0,Harry Kane,Wilfried Zaha,(3-4-3),(4-3-3),56%,44%,450 of 550 — 82%,74% — 314 of 424,3 of 8 — 38%,29% — 2 of 7,2 of 2 — 100%,66% — 2 of 3,3.0,0,5.0,0,15,14,8,4,19,17,647,508,13,15,14,12,19,10,22,18,1,0,8,3,12,27,68,63
0,İlkay Gündoğan,Luke Ayling,(3-2-4-1),(4-2-3-1),80%,20%,817 of 917 — 89%,58% — 131 of 226,6 of 17 — 35%,50% — 2 of 4,1 of 2 — 50%,66% — 4 of 6,0.0,0,3.0,0,3,16,10,1,22,7,994,316,7,10,5,4,13,12,8,28,4,3,4,15,12,10,46,60
0,Neto,Thiago Silva,(4-2-3-1),(4-3-3),35%,65%,259 of 348 — 74%,86% — 559 of 648,4 of 10 — 40%,45% — 5 of 11,2 of 5 — 40%,75% — 3 of 4,1.0,0,3.0,0,9,11,7,7,14,22,454,756,16,12,8,9,11,11,27,9,1,0,10,6,24,20,48,50
0,Rúben Neves,John McGinn,(4-4-2),(4-4-2),38%,62%,211 of 297 — 71%,83% — 396 of 478,2 of 6 — 33%,19% — 3 of 16,3 of 3 — 100%,50% — 1 of 2,3.0,0,3.0,0,20,9,5,6,13,22,393,571,13,10,9,8,9,19,23,13,3,2,9,3,14,19,60,41
